"rank","name","url","udisc_id","source"
1,"Krokhol Disc Golf Course","https://udisc.com/courses/krokhol-disc-golf-course-TKtF","krokhol-disc-golf-course-TKtF","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
2,"Kippasuo Pro DiscGolfPark at Heinola DiscGolfPark World","https://udisc.com/courses/kippasuo-pro-disc-golf-park-at-heinola-disc-golf-park-world-Q64q","kippasuo-pro-disc-golf-park-at-heinola-disc-golf-park-world-Q64q","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
3,"Ale Disc Golf Center: White Course","https://udisc.com/courses/ale-disc-golf-center-white-course-Bwwj","ale-disc-golf-center-white-course-Bwwj","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
4,"Maple Hill","https://udisc.com/courses/maple-hill-lCej","maple-hill-lCej","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
5,"Brewster Ridge Disc Golf Course","https://udisc.com/courses/brewster-ridge-disc-golf-course-DVua","brewster-ridge-disc-golf-course-DVua","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
6,"Persimmon Ridge Disc Golf Course","https://udisc.com/courses/persimmon-ridge-dgc-ErdF","persimmon-ridge-dgc-ErdF","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
7,"Fox Run Meadows","https://udisc.com/courses/fox-run-meadows-yi3h","fox-run-meadows-yi3h","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
8,"Caliber Disc Golf Course","https://udisc.com/courses/caliber-dgc-Rxbo","caliber-dgc-Rxbo","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
9,"Championship Course at Eagles Crossing","https://udisc.com/courses/eagles-crossing-JQQP","eagles-crossing-JQQP","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
10,"Åkeslund DiscGolfCenter","https://udisc.com/courses/akeslund-disc-golf-center-Slp3","akeslund-disc-golf-center-Slp3","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
11,"Flip City Disc Golf Park","https://udisc.com/courses/flip-city-disc-golf-park-Q6Sd","flip-city-disc-golf-park-Q6Sd","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
12,"Ale Disc Golf Center: Yellow Course","https://udisc.com/courses/ale-disc-golf-center-yellow-course-PSfu","ale-disc-golf-center-yellow-course-PSfu","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
13,"Øverås Diskgolfpark","https://udisc.com/courses/overas-diskgolfpark-JBfU","overas-diskgolfpark-JBfU","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
14,"Blue Ribbon Pines","https://udisc.com/courses/blue-ribbon-pines-aCxV","blue-ribbon-pines-aCxV","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
15,"Harmony Bends","https://udisc.com/courses/harmony-bends-iSZl","harmony-bends-iSZl","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
16,"Neatman Creek","https://udisc.com/courses/neatman-creek-LlEM","neatman-creek-LlEM","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
17,"The Canyons at Dellwood Park","https://udisc.com/courses/the-canyons-at-dellwood-park-EV25","the-canyons-at-dellwood-park-EV25","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
18,"Sugaree","https://udisc.com/courses/sugaree-IZdI","sugaree-IZdI","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
19,"Wildcat Bluff","https://udisc.com/courses/wildcat-bluff-I1rO","wildcat-bluff-I1rO","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
20,"Beaver Ranch Disc Golf Course","https://udisc.com/courses/beaver-ranch-disc-golf-course-dmjy","beaver-ranch-disc-golf-course-dmjy","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
21,"THE Diavolo DGC @ New Hope Park","https://udisc.com/courses/the-diavolo-dgc-new-hope-park-SxAA","the-diavolo-dgc-new-hope-park-SxAA","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
22,"Idlewild","https://udisc.com/courses/idlewild-FVl4","idlewild-FVl4","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
23,"Momhøje Discgolf","https://udisc.com/courses/momhoje-discgolf-SCMK","momhoje-discgolf-SCMK","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
24,"Hillcrest Farm Disc Golf","https://udisc.com/courses/hillcrest-farm-disc-golf-uWDj","hillcrest-farm-disc-golf-uWDj","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
25,"Bear Mountain","https://udisc.com/courses/bear-mountain-KTAl","bear-mountain-KTAl","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
26,"Faylor Lake DiscGolfPark","https://udisc.com/courses/faylor-lake-disc-golf-park-vVwU","faylor-lake-disc-golf-park-vVwU","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
27,"North Cove Disc Golf: Boulders","https://udisc.com/courses/north-cove-disc-golf-boulders-osby","north-cove-disc-golf-boulders-osby","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
28,"Hobb's Farm Disc Golf","https://udisc.com/courses/hobbs-farm-disc-golf-W9kF","hobbs-farm-disc-golf-W9kF","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
29,"Skellefteå Discgolf Terminalen","https://udisc.com/courses/discgolf-terminalen-skelleftea-Whtv","discgolf-terminalen-skelleftea-Whtv","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
30,"Lundbyparken","https://udisc.com/courses/lundbyparken-i88M","lundbyparken-i88M","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
31,"Cannon Ridge","https://udisc.com/courses/cannon-ridge-PTRU","cannon-ridge-PTRU","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
32,"New London Tech Disc Golf Course","https://udisc.com/courses/new-london-tech-dgc-B9rN","new-london-tech-dgc-B9rN","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
33,"Raptors Knoll Disc Golf Park","https://udisc.com/courses/raptors-knoll-disc-golf-park-mxVs","raptors-knoll-disc-golf-park-mxVs","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
34,"Bryant Lake Park","https://udisc.com/courses/bryant-lake-park-k5Dc","bryant-lake-park-k5Dc","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
35,"Uspatorp","https://udisc.com/courses/uspastorp-disc-golf-park-sKSb","uspastorp-disc-golf-park-sKSb","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
36,"Puijo DiscGolf","https://udisc.com/courses/puijo-disc-golf-NODE","puijo-disc-golf-NODE","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
37,"Stafford Woods","https://udisc.com/courses/stafford-woods-CXrd","stafford-woods-CXrd","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
38,"The Hideaway DGR: Roadrunner","https://udisc.com/courses/the-hideaway-dgr-roadrunner-K1Cr","the-hideaway-dgr-roadrunner-K1Cr","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
39,"Harmon Hills","https://udisc.com/courses/harmon-hills-fs94","harmon-hills-fs94","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
40,"Northwood Park Disc Golf Course - Black","https://udisc.com/courses/northwood-park-black-uqNc","northwood-park-black-uqNc","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
41,"Järva Disc Golf Park","https://udisc.com/courses/jaerva-discgolf-park-xgc5","jaerva-discgolf-park-xgc5","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
42,"Vojens DiscGolfPark","https://udisc.com/courses/vojens-disc-golf-park-Kvi1","vojens-disc-golf-park-Kvi1","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
43,"Sandy Point Disc Golf Ranch","https://udisc.com/courses/sandy-point-disc-golf-ranch-GYmV","sandy-point-disc-golf-ranch-GYmV","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
44,"Lake Marshall - Lions","https://udisc.com/courses/lake-marshall-lions-lZjw","lake-marshall-lions-lZjw","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
45,"Lakeview Disc Golf Course at Moraine State Park","https://udisc.com/courses/lakeview-dgc-at-moraine-state-park-DZlj","lakeview-dgc-at-moraine-state-park-DZlj","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
46,"BC3 Disc Golf","https://udisc.com/courses/b-c3-disc-golf-I57q","b-c3-disc-golf-I57q","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
47,"Ymergårdens Discgolfcenter - Gold Course","https://udisc.com/courses/ymergardens-discgolfcenter-gold-course-yQg4","ymergardens-discgolfcenter-gold-course-yQg4","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
48,"Rollin Ridge","https://udisc.com/courses/rollin-ridge-sU10","rollin-ridge-sU10","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
49,"DeLaveaga Disc Golf Course","https://udisc.com/courses/de-laveaga-dgc-EpV1","de-laveaga-dgc-EpV1","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
50,"Echo Valley Disc Golf Course","https://udisc.com/courses/echo-valley-dgc-q7H2","echo-valley-dgc-q7H2","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
51,"The Regulator at Rock Creek","https://udisc.com/courses/the-regulator-at-rock-creek-Vaol","the-regulator-at-rock-creek-Vaol","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
52,"Kayak Point Disc Golf Resort - Red","https://udisc.com/courses/kayak-point-dgr-red-odp9","kayak-point-dgr-red-odp9","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
53,"Parc des Familles Disc Golf Course","https://udisc.com/courses/parc-des-familles-dgc-stFh","parc-des-familles-dgc-stFh","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
54,"Dino Hills Disc Golf Farm - Carnivore Valley","https://udisc.com/courses/dino-hills-dg-farm-carnivore-valley-Yck6","dino-hills-dg-farm-carnivore-valley-Yck6","https://udisc.com/blog/post/worlds-best-disc-golf-courses-2024"
