"name","publisher","uri"
"1865","Airship / Wondery","spotify:show:2GFqbdH3xEtu0ZKUP6tr13"
"99% Invisible","Roman Mars","spotify:show:2VRS1IJCTn2Nlkg33ZVfkM"
"AFK w/ Ninja","Ninja","spotify:show:1iNqO4vhpiNrQxwVDRZ7yW"
"AWS Podcast","Amazon Web Services","spotify:show:363iMcjThX5KNpfSHPRAjj"
"All-American: Venus & Serena","Stitcher Studios","spotify:show:11odWZvEFUpLh3e6YaHhsF"
"Alpinist","Alpinist","spotify:show:0eFDVP0PnX0qk4qcRd6UgW"
"Archewell Audio","Spotify Studios","spotify:show:7kz7cRLYAcPiWxqiKw1nlG"
"Backend Banter","Lane Wagner","spotify:show:35trT95UkRVCkEb6tXndpF"
"Backpacker Radio","Backpacker Radio","spotify:show:5FO5edVqPbDcny0ja8kF4d"
"Basecamp: A Climbing Magazine Podcast","Climbing Magazine","spotify:show:7mrEe4JDVLv7YKxaWbQ3wS"
"Beyond Bardstown: Unsolved","VAULT Studios","spotify:show:0q0lDXqcT3U7FF4yHvHwwH"
"Business of Tech","MSP Radio","spotify:show:05G6fyFZdhQYWdwOwypre0"
"Can You Survive This Podcast?","Jeff Apple","spotify:show:2yzfw7zT0EAMjVen0VqqzA"
"Changelog Master Feed","Changelog Media","spotify:show:0S1h5K7jm2YvOcM7y1ZMXY"
"Click Here","Recorded Future News","spotify:show:2kxOETGvN32D6hZu0wPntG"
"Code[ish]","Salesforce Engineering","spotify:show:5VvkHRhd9E9SQf7i9HsPMd"
"Darknet Diaries","Jack Rhysider","spotify:show:4XPl3uEEL9hvqMkoZrzbx5"
"DataFramed","DataCamp","spotify:show:02yJXEJAJiQ0Vm2AO9Xj6X"
"Dev Interrupted","LinearB","spotify:show:7icMkauSvLflWCpQrfafIv"
"Developer Tea","Jonathan Cutrell","spotify:show:02fM1JHpt9HmHGp482K71b"
"Eric Hörst's Training For Climbing podcast","Eric J. Hörst","spotify:show:1VOce9zQpi2B6rcx5owqPf"
"FKT Podcast","Fastest Known","spotify:show:5zDMyj4akxxcb7an0C2VrO"
"First Date with Lauren Compton","YMH Studios","spotify:show:6ci7cws80RvbohCOlSSIPE"
"Full Stack Radio","Adam Wathan","spotify:show:0Ddvex5OtYOvhyyK6ckG3A"
"Hacking the Org","Container Solutions","spotify:show:12eOZXwUOJnPaogCqW92GZ"
"Hanselminutes with Scott Hanselman","Scott Hanselman","spotify:show:4SrTUZr1s5C4SJmUxDIUDc"
"How I Write","David Perell","spotify:show:2DjMSboniFAeGA8v9NpoPv"
"Humans Outside","Amy Bushatz","spotify:show:6aAQNAwfl7FrlfpgfJEmjK"
"Inside Forbes Councils","Forbes Councils","spotify:show:3niEMO1re2KW2OqagGDzj6"
"Jammin' with the Best: A Disc Golf Podcast....Mostly","Jammin' WIth The Best","spotify:show:3zFCBTbzylUvT09v4g2yl6"
"Lex Fridman Podcast","Lex Fridman","spotify:show:2MAi0BvDc6GTFvKFPXnkCL"
"Live Wild or Die. Presented by wild gym.","wild gym","spotify:show:4NKlOgT7N8GWLdzd5ai597"
"Long Way Radio","Jack Fisher","spotify:show:5GNFSs1zlaUuRqMdwV58OH"
"Making Sense with Sam Harris","Sam Harris","spotify:show:5rgumWEx4FsqIY8e1wJNAk"
"Motherhacker","Gimlet","spotify:show:7rAolxBjL2mq5Dq9osvLmE"
"MtnMeister","Ben Schenck","spotify:show:0zUIUxm1cFa82dwnhvwmhs"
"On The Metal","Oxide Computer Company","spotify:show:4GDUravTUbvTrdJ2oWnzJp"
"Out and Back","Gaia GPS","spotify:show:34wJM95LuWgfW0ZI7uInDj"
"Outside Podcast","Outside ","spotify:show:1jC5hCVbmvSCTGHwdXDAj1"
"Oxide and Friends","Oxide Computer Company","spotify:show:1OIFxTivR0D9clY3sZi4rA"
"PodRocket - A web development podcast from LogRocket","LogRocket ","spotify:show:6oFuKu89C9X1wQ7bT0QEM2"
"REWORK","37signals","spotify:show:5JxcIaIkN8zx3Zy7yD9snv"
"Running It with Nate Sexton","Nate Sexton and Jarett Orr","spotify:show:7scfhgewU0Kv8CvoqbvkKa"
"SHOWMEZ","JomezPro","spotify:show:6FHnIaTlz2abm5AS3OKxjl"
"Software Engineering Daily","softwareengineeringdaily.com","spotify:show:6UCtBYL29hwhw4YbTdX83N"
"Software Engineering Radio - the podcast for professional software developers","se-radio@computer.org","spotify:show:6UO3XQclSuNnGxB39QdAnL"
"StarTalk Radio","Neil deGrasse Tyson","spotify:show:1mNsuXfG95Lf76YQeVMuo1"
"Streaming Audio: Apache Kafka® & Real-Time Data","Confluent, founded by the original creators of Apache Kafka®","spotify:show:65WRDvSFQ2tkdk1GXlRPqR"
"Stuff You Should Know","iHeartPodcasts","spotify:show:0ofXAdFIQQRsCYj9754UFx"
"System Design","Wes and Kevin","spotify:show:2wnpdaxTbMaKQVVmUxb9QW"
"Techmeme Ride Home","Ride Home Media","spotify:show:1jBNbPVlGUen3sWdd25ho6"
"The Art of Manliness","The Art of Manliness","spotify:show:2vJHmWhhcMQRXtTruuFWTJ"
"The Building a Second Brain Podcast","Tiago Forte","spotify:show:40O0Lbp5ockSt0qSogo6q1"
"The Changelog: Software Development, Open Source","Changelog Media","spotify:show:5bBki72YeKSLUqyD94qsuJ"
"The Engineering Leadership Podcast","The Engineering Leadership Community (ELC)","spotify:show:1wIytRQ4Ub8McXSP1iDwVX"
"The InfoQ Podcast","InfoQ","spotify:show:4NhWaYYpPWgWRDAOqeRQbj"
"The Joe Rogan Experience","Joe Rogan","spotify:show:4rOoJ6Egrf8K2IrywzwOMk"
"The Jordan B. Peterson Podcast","Dr. Jordan B. Peterson","spotify:show:1Zw2DKjelPnuEYpydFlhgN"
"The Louis Theroux Podcast","Spotify Studios","spotify:show:7LuQv400JFzzlJrOuMukRj"
"The Matt Walsh Show","The Daily Wire","spotify:show:1LeIhhawEPWj4uVLQV8Lkd"
"The Minimalists Podcast","Joshua Fields Millburn, Ryan Nicodemus","spotify:show:5ECF0soZ1H5NxZHanAzUYd"
